Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
91155457,00000597,false,Rx,0,8,01,E6,00,00,00,00,00,00,
91155716,00000598,false,Rx,0,8,00,00,00,00,30,13,7F,7F,
91155985,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
91156255,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
91156515,0000059E,false,Rx,0,8,00,00,00,00,74,0C,00,00,
91156763,000005A3,false,Rx,0,8,0F,00,00,00,9D,39,9D,39,
91157013,000005D5,false,Rx,0,8,00,00,00,A4,C8,C8,00,0A,
91157262,000005D6,false,Rx,0,8,B4,B5,00,00,17,18,38,31,
91157532,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
91157782,000005D8,false,Rx,0,8,80,41,0A,00,E6,00,74,0C,
91253141,00000594,false,Rx,0,8,50,14,24,13,A0,45,23,20,
91253407,00000491,false,Rx,0,8,5B,00,00,00,00,00,00,0A,
91253657,00000493,false,Rx,0,8,00,0C,00,55,00,00,54,06,
91253926,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
91254185,000004DE,false,Rx,0,8,00,7F,7F,0A,7F,C4,1E,00,
91254436,000004E2,false,Rx,0,8,3E,03,CA,03,00,00,C1,9E,
91254694,00000542,false,Rx,0,8,41,18,00,A0,00,00,FF,FF,
91254943,00000595,false,Rx,0,8,1E,00,B4,B5,00,00,74,0C,
91255201,00000596,false,Rx,0,8,3B,80,00,00,5B,00,17,18,
91255461,00000597,false,Rx,0,8,81,E6,00,00,00,00,00,00,
91255720,00000598,false,Rx,0,8,00,00,00,00,30,13,7F,7F,
91255990,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
91256249,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
91256519,0000059E,false,Rx,0,8,00,00,00,00,74,0C,00,00,
91256768,000005A3,false,Rx,0,8,0F,00,00,00,9D,39,9D,39,
91257017,000005D5,false,Rx,0,8,00,00,00,A4,C8,C8,00,0A,
91257266,000005D6,false,Rx,0,8,B4,B5,00,00,17,18,38,31,
91257527,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
91257785,000005D8,false,Rx,0,8,80,41,0A,00,E6,00,74,0C,
91353150,00000594,false,Rx,0,8,50,14,24,13,A0,45,23,20,
91353406,00000491,false,Rx,0,8,5B,00,00,00,00,00,00,0A,
91353665,00000493,false,Rx,0,8,00,0C,00,55,00,00,54,06,
91353924,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
91354184,000004DE,false,Rx,0,8,00,7F,7F,0A,7F,C4,1E,00,
91354444,000004E2,false,Rx,0,8,3E,03,CA,03,00,00,C1,9E,
91354703,00000542,false,Rx,0,8,41,18,00,A0,00,00,FF,FF,
91354952,00000595,false,Rx,0,8,1E,00,B4,B5,00,00,74,0C,
91355211,00000596,false,Rx,0,8,76,80,00,00,5B,00,17,18,
91355460,00000597,false,Rx,0,8,01,E6,00,00,00,00,00,00,
91355720,00000598,false,Rx,0,8,00,00,00,00,30,13,7F,7F,
91355989,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
91356258,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
91356519,0000059E,false,Rx,0,8,00,00,00,00,74,0C,00,00,
91356768,000005A3,false,Rx,0,8,0F,00,00,00,9D,39,9D,39,
91357016,000005D5,false,Rx,0,8,00,00,00,A4,C8,C8,00,0A,
91357266,000005D6,false,Rx,0,8,B4,B5,00,00,17,18,3B,CC,
91357526,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
91357785,000005D8,false,Rx,0,8,80,41,0A,00,E6,00,74,0C,
91453157,00000594,false,Rx,0,8,50,14,24,13,A0,45,23,20,
91453414,000003F6,false,Rx,0,8,18,00,00,00,00,00,00,00,
91453673,00000491,false,Rx,0,8,5B,00,00,00,00,00,00,0A,
91453932,00000493,false,Rx,0,8,00,0C,00,55,00,00,54,06,
91454192,00000497,false,Rx,0,8,11,B4,00,00,00,00,00,00,
91454462,00000498,false,Rx,0,8,00,00,00,00,00,00,00,00,
91454720,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
91454980,000004DE,false,Rx,0,8,00,7F,7F,0A,7F,C4,1E,00,
91455238,000004E2,false,Rx,0,8,3E,03,CA,03,00,00,C1,9E,
91455498,00000542,false,Rx,0,8,41,18,00,A0,00,00,FF,FF,
91455747,00000595,false,Rx,0,8,1E,00,B4,B5,00,00,74,0C,
91455996,00000596,false,Rx,0,8,77,80,00,00,5B,00,17,18,
91456254,00000597,false,Rx,0,8,81,E6,00,00,00,00,00,00,
91456516,00000598,false,Rx,0,8,00,00,00,00,30,13,7F,7F,
91456785,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
91457054,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
91457314,0000059E,false,Rx,0,8,00,00,00,00,74,0C,00,00,
91457564,000005A3,false,Rx,0,8,0F,00,00,00,9D,39,9D,39,
91457812,000005D5,false,Rx,0,8,00,00,00,A4,C8,C8,00,0A,
91458062,000005D6,false,Rx,0,8,B4,B5,00,00,17,18,3B,CC,
91458321,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
91458581,000005D8,false,Rx,0,8,80,41,0A,00,E6,00,74,0C,
91553158,00000594,false,Rx,0,8,50,14,24,13,A0,45,23,20,
91553413,00000491,false,Rx,0,8,5B,00,00,00,00,00,00,0A,
91553672,00000493,false,Rx,0,8,00,0C,00,55,00,00,54,06,
91553932,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
91554190,000004DE,false,Rx,0,8,00,7F,7F,0A,7F,C4,1E,00,
91554450,000004E2,false,Rx,0,8,3E,03,CA,03,00,00,C1,9E,
91554710,00000542,false,Rx,0,8,41,18,00,A0,00,00,FF,FF,
91554959,00000595,false,Rx,0,8,1E,00,B4,B5,00,00,74,0C,
91555226,00000596,false,Rx,0,8,79,80,00,00,5B,00,17,18,
91555467,00000597,false,Rx,0,8,01,E6,00,00,00,00,00,00,
91555726,00000598,false,Rx,0,8,00,00,00,00,30,13,7F,7F,
91555995,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
91556265,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
91556525,0000059E,false,Rx,0,8,00,00,00,00,74,0C,00,00,
91556773,000005A3,false,Rx,0,8,0F,00,00,00,9D,39,9D,39,
91557023,000005D5,false,Rx,0,8,00,00,00,A4,C8,C8,00,0A,
91557272,000005D6,false,Rx,0,8,B4,B5,00,00,17,18,77,31,
91557532,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
91557792,000005D8,false,Rx,0,8,80,41,0A,00,E6,00,74,0C,
91653155,00000594,false,Rx,0,8,50,14,24,13,A0,45,23,20,
91653421,00000491,false,Rx,0,8,5B,00,00,00,00,00,00,0A,
91653670,00000493,false,Rx,0,8,00,0C,00,55,00,00,54,06,
91653940,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
91654199,000004DE,false,Rx,0,8,00,7F,7F,0A,7F,C4,1E,00,
91654449,000004E2,false,Rx,0,8,3E,03,CA,03,00,00,C1,9E,
91654708,00000542,false,Rx,0,8,41,18,00,A0,00,00,FF,FF,
91654957,00000595,false,Rx,0,8,1E,00,B4,B5,00,00,74,0C,
91655225,00000596,false,Rx,0,8,7A,80,00,00,5B,00,17,18,
91655475,00000597,false,Rx,0,8,81,E6,00,00,00,00,00,00,
91655734,00000598,false,Rx,0,8,00,00,00,00,30,13,7F,7F,
91655994,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
91656263,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
91656523,0000059E,false,Rx,0,8,00,00,00,00,74,0C,00,00,
91656772,000005A3,false,Rx,0,8,0F,00,00,00,9D,39,9D,39,
91657031,000005D5,false,Rx,0,8,00,00,00,A4,C8,C8,00,0A,
91657280,000005D6,false,Rx,0,8,B4,B5,00,00,17,18,77,31,
91657541,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
91657790,000005D8,false,Rx,0,8,80,41,0A,00,E6,00,74,0C,
91753152,00000594,false,Rx,0,8,50,14,24,13,A0,45,23,20,
91753418,00000491,false,Rx,0,8,5B,00,00,00,00,00,00,0A,
91753667,00000493,false,Rx,0,8,00,0C,00,55,00,00,54,06,
91753936,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
91754195,000004DE,false,Rx,0,8,00,7F,7F,0A,7F,C4,1E,00,
91754446,000004E2,false,Rx,0,8,3E,03,CA,03,00,00,C1,9E,
91754705,00000542,false,Rx,0,8,41,18,00,A0,00,00,FF,FF,
91754953,00000595,false,Rx,0,8,1E,00,B4,B5,00,00,74,0C,
91755212,00000596,false,Rx,0,8,7C,80,00,00,5B,00,17,18,
91755472,00000597,false,Rx,0,8,01,E6,00,00,00,00,00,00,
91755730,00000598,false,Rx,0,8,00,00,00,00,30,13,7F,7F,
91756000,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
91756270,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
91756529,0000059E,false,Rx,0,8,00,00,00,00,74,0C,00,00,
91756779,000005A3,false,Rx,0,8,0F,00,00,00,9D,39,9D,39,
91757028,000005D5,false,Rx,0,8,00,00,00,A4,C8,C8,00,0A,
91757277,000005D6,false,Rx,0,8,B4,B5,00,00,17,18,7A,CC,
91757538,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
91757786,000005D8,false,Rx,0,8,80,41,0A,00,E6,00,74,0C,
91853160,00000594,false,Rx,0,8,50,14,24,13,A0,45,23,20,
91853417,00000491,false,Rx,0,8,5B,00,00,00,00,00,00,0A,
91853676,00000493,false,Rx,0,8,00,0C,00,55,00,00,54,06,
91853935,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
91854194,000004DE,false,Rx,0,8,00,7F,7F,0A,7F,C4,1E,00,
91854454,000004E2,false,Rx,0,8,3E,03,CA,03,00,00,C1,9E,
91854713,00000542,false,Rx,0,8,41,18,00,A0,00,00,FF,FF,
91854963,00000595,false,Rx,0,8,1E,00,B4,B5,00,00,74,0C,
91855220,00000596,false,Rx,0,8,83,80,00,00,5B,00,17,18,
91855470,00000597,false,Rx,0,8,81,E6,00,00,00,00,00,00,
91855730,00000598,false,Rx,0,8,00,00,00,00,30,13,7F,7F,
91855999,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
91856268,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
91856529,0000059E,false,Rx,0,8,00,00,00,00,74,0C,00,00,
91856777,000005A3,false,Rx,0,8,0F,00,00,00,9D,39,9D,39,
